Language,Language (local),Wiki,Articles,Total pages,Edits,Admins,Users,Active users,Files,Depth,Percentage
English,English,en,"6,669,420","58,350,047","1,155,457,535",897,"45,706,677","118,492","904,976",1189.03,10.88%
Cebuano,Cebuano,ceb,"6,123,216","11,226,402","35,005,212",5,"103,911",162,0,2.17,9.99%
German,Deutsch,de,"2,809,144","7,751,574","233,070,447",180,"4,169,620","17,391","127,711",93.07,4.58%
Swedish,svenska,sv,"2,565,207","6,176,860","53,080,157",67,"869,578","2,105",0,17.03,4.19%
French,français,fr,"2,529,200","12,601,524","204,714,377",152,"4,680,526","17,909","71,172",257.64,4.13%
Dutch,Nederlands,nl,"2,124,661","4,540,090","64,330,502",34,"1,281,784","3,880",20,18.31,3.47%
Russian,русский,ru,"1,921,894","7,713,159","130,745,297",72,"3,403,451","10,671","243,927",153.92,3.14%
Spanish,español,es,"1,870,027","7,927,000","151,387,945",58,"6,874,124","15,918",0,200.35,3.05%
Italian,italiano,it,"1,814,618","7,739,473","133,675,453",120,"2,393,612","8,291","131,402",184.13,2.96%
Egyptian Arabic,مصرى,arz,"1,617,904","2,074,218","8,150,777",7,"212,618",216,"1,482",0.31,2.64%
Polish,polski,pl,"1,570,955","3,620,406","70,391,111",99,"1,243,010","4,299",260,33.09,2.56%
Japanese,日本語,ja,"1,377,103","4,053,887","95,413,737",42,"2,081,776","14,134","4,775",88.93,2.25%
Chinese,中文,zh,"1,361,079","7,412,536","77,373,728",66,"3,357,757","8,237","63,851",206.34,2.22%
Vietnamese,Tiếng Việt,vi,"1,284,211","19,424,692","70,284,606",18,"913,579","1,946","25,805",721.99,2.1%
Ukrainian,українська,uk,"1,268,124","4,403,763","39,631,651",50,"694,295","3,738","111,800",55.02,2.07%
Waray,Winaray,war,"1,266,179","2,870,657","6,624,899",3,"56,413",74,42,3.71,2.07%
Arabic,العربية,ar,"1,208,303","8,124,860","62,738,308",21,"2,434,173","4,739","51,924",253.01,1.97%
Portuguese,português,pt,"1,103,321","5,528,876","65,873,542",53,"2,931,796","8,591","59,541",191.69,1.8%
Persian,فارسی,fa,"965,484","5,519,514","37,252,477",36,"1,227,393","6,590","85,894",150.16,1.58%
Catalan,català,ca,"729,403","1,820,795","31,804,613",29,"452,101","1,240","12,083",39.11,1.19%
Serbian,српски / srpski,sr,"671,608","4,028,016","25,873,418",17,"328,781","1,038","38,026",160.43,1.1%
Indonesian,Bahasa Indonesia,id,"651,168","3,541,016","23,658,558",44,"1,411,577","3,325","47,891",131.59,1.06%
Korean,한국어,ko,"637,473","3,089,094","34,986,602",28,"790,475","1,785","13,194",167.52,1.04%
Norwegian (Bokmål),norsk,no,"612,134","1,756,317","23,575,624",42,"583,209","1,125",4,46.9,1%
Chechen,нохчийн,ce,"600,032","1,188,702","10,024,485",3,"34,057",57,324,8.12,0.98%
Finnish,suomi,fi,"554,272","1,450,936","21,567,778",33,"547,696","1,599","72,914",38.9,0.9%
Hungarian,magyar,hu,"526,458","1,508,610","26,149,722",25,"534,807","1,639","8,772",60.33,0.86%
Czech,čeština,cs,"525,915","1,472,894","22,849,184",31,"623,144","2,411",1,50.3,0.86%
Turkish,Türkçe,tr,"525,211","2,465,461","29,795,106",19,"1,504,695","3,204","39,058",164.93,0.86%
Tatar,татарча / tatarça,tt,"500,260","782,936","4,077,667",6,"46,953",107,"6,380",1.66,0.82%
Serbo-Croatian,srpskohrvatski / српскохрватски,sh,"458,259","4,648,207","41,415,673",8,"186,259",193,"10,191",744.86,0.75%
Romanian,română,ro,"440,203","2,679,738","15,686,320",17,"620,245","1,117","117,073",151.51,0.72%
Southern Min,Bân-lâm-gú,zh-min-nan,"432,476","1,067,630","3,170,121",6,"57,904",99,335,6.4,0.71%
Basque,euskara,eu,"412,359","864,898","9,297,297",12,"149,194",491,0,12.95,0.67%
Malay,Bahasa Melayu,ms,"365,309","1,061,397","5,860,732",17,"315,271",628,"18,813",20.05,0.6%
Esperanto,Esperanto,eo,"338,014","752,131","8,130,894",16,"210,563",347,"14,547",16.23,0.55%
Hebrew,עברית,he,"336,062","1,422,277","36,431,879",32,"1,081,973","3,333","76,521",267.6,0.55%
Armenian,հայերեն,hy,"298,217","1,005,984","8,706,214",11,"133,353",470,"11,760",48.75,0.49%
Danish,dansk,da,"292,030","926,565","11,468,479",25,"456,937",745,0,58.44,0.48%
Bulgarian,български,bg,"291,707","653,009","11,803,640",25,"326,801",739,484,27.73,0.48%
Welsh,Cymraeg,cy,"278,943","438,220","11,811,915",16,"81,135",115,"11,314",8.79,0.46%
Slovak,slovenčina,sk,"245,005","559,587","7,570,750",10,"235,485",623,0,22.3,0.4%
